693,485,0,1,0
278,485,0,1,0
278,343,0,1,0
415,343,0,1,0
415,0,0,1,0
1197,0,0,1,0
1197,68,0,1,0
1359,68,0,1,0
1359,207,0,1,0
1320,207,0,1,0
1320,293,0,1,0
1307,293,0,1,0
1307,430,0,1,0
1232,430,0,1,0
1232,561,0,1,0
748,561,0,1,0
748,485,0,1,0
717,485,0,1,0
717,750,0,1,0
693,750,0,1,0
693,819,0,1,0
383,819,0,1,0
383,896,0,1,0
0,896,0,1,0
0,661,0,1,0
182,661,0,1,0
182,548,0,1,0
693,548,0,1,0
693,485,0,1,0
692,548,0,1,1
566,548,0,1,1
566,658,0,1,1
534,658,0,1,1
534,715,0,1,1
575,715,0,1,1
575,764,0,1,1
377,764,0,1,1
377,661,0,1,1
111,661,0,1,1
111,697,0,1,1
340,697,0,1,1
340,771,0,1,1
140,771,0,1,1
140,819,0,1,1
644,819,0,1,1
644,749,0,1,1
620,749,0,1,1
620,657,0,1,1
717,657,0,1,1
717,273,0,1,1
848,273,0,1,1
848,485,0,1,1
748,485,0,1,1
748,561,0,1,1
867,561,0,1,1
867,273,0,1,1
972,273,0,1,1
972,485,0,1,1
1091,485,0,1,1
1091,561,0,1,1
1232,561,0,1,1
1232,430,0,1,1
1307,430,0,1,1
1307,412,0,1,1
1134,412,0,1,1
1134,323,0,1,1
1307,323,0,1,1
1307,293,0,1,1
1134,293,0,1,1
1134,207,0,1,1
1359,207,0,1,1
1359,174,0,1,1
1134,174,0,1,1
1134,90,0,1,1
1359,90,0,1,1
1359,68,0,1,1
1134,68,0,1,1
1134,0,0,1,1
1095,0,0,1,1
1095,243,0,1,1
880,243,0,1,1
880,166,0,1,1
848,166,0,1,1
848,246,0,1,1
436,246,0,1,1
436,164,0,1,1
416,164,0,1,1
416,485,0,1,1
437,485,0,1,1
437,273,0,1,1
692,273,0,1,1
692,548,0,1,1
566,548,0,1,1
1154,617,0,2,0
2090,617,0,2,0
2091,1047,0,2,0
1999,1047,0,2,0
1999,1177,0,2,0
1848,1177,0,2,0
1848,1103,0,2,0
1615,1103,0,2,0
1615,1277,0,2,0
1589,1277,0,2,0
1589,1436,0,2,0
1277,1436,0,2,0
1277,1510,0,2,0
896,1510,0,2,0
896,1164,0,2,0
1587,1164,0,2,0
1587,1102,0,2,0
1154,1102,0,2,0
1154,617,0,2,0
1154,865,0,2,1
1590,865,0,2,1
1590,799,0,2,1
1627,799,0,2,1
1627,865,0,2,1
1888,865,0,2,1
1888,930,0,2,1
2000,930,0,2,1
2000,982,0,2,1
1978,982,0,2,1
1978,940,0,2,1
1876,940,0,2,1
1876,1062,0,2,1
1848,1062,0,2,1
1848,893,0,2,1
1615,893,0,2,1
1615,1277,0,2,1
1579,1277,0,2,1
1579,1226,0,2,1
1388,1226,0,2,1
1388,1263,0,2,1
1279,1263,0,2,1
1279,1395,0,2,1
1417,1395,0,2,1
1417,1436,0,2,1
1225,1436,0,2,1
1225,1243,0,2,1
1304,1243,0,2,1
1304,1164,0,2,1
1587,1164,0,2,1
1587,884,0,2,1
1154,884,0,2,1
1154,865,0,2,1
1774,1299,0,3,0
2715,1299,0,3,0
2715,1733,0,3,0
2619,1733,0,3,0
2619,1861,0,3,0
2468,1861,0,3,0
2468,1786,0,3,0
2233,1786,0,3,0
2233,1851,0,3,0
2348,1851,0,3,0
2348,1973,0,3,0
2306,1973,0,3,0
2306,2113,0,3,0
1991,2113,0,3,0
1991,2200,0,3,0
1620,2200,0,3,0
1620,1851,0,3,0
2204,1851,0,3,0
2204,1788,0,3,0
1774,1788,0,3,0
1774,1299,0,3,0
1774,1550,0,3,1
2204,1550,0,3,1
2204,1484,0,3,1
2244,1484,0,3,1
2244,1550,0,3,1
2509,1550,0,3,1
2509,1615,0,3,1
2618,1615,0,3,1
2618,1628,0,3,1
2510,1628,0,3,1
2510,1695,0,3,1
2466,1695,0,3,1
2466,1571,0,3,1
2233,1571,0,3,1
2233,2031,0,3,1
2306,2031,0,3,1
2306,2061,0,3,1
2173,2061,0,3,1
2173,2031,0,3,1
1976,2031,0,3,1
1976,2088,0,3,1
1620,2088,0,3,1
1620,2051,0,3,1
1680,2051,0,3,1
1680,1936,0,3,1
2091,1936,0,3,1
2091,1963,0,3,1
2076,1963,0,3,1
2076,2009,0,3,1
2202,2009,0,3,1
2202,2035,0,3,1
2204,2035,0,3,1
2204,1911,0,3,1
2099,1911,0,3,1
2099,1851,0,3,1
2204,1851,0,3,1
2204,1568,0,3,1
1774,1568,0,3,1
1774,1550,0,3,1
